%{dd-mm-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper :21 - logger is configured
27-03-2020 21:03:548 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 21:03:555 INFO  WaitHelper :124 - Waiting for Page Load Time200 for SECONDS
27-03-2020 21:03:559 INFO  WaitHelper :125 - Page is loded
27-03-2020 21:03:730 INFO  ExtentListner :32 - test Test Started..
27-03-2020 21:03:586 INFO  ExtentListner :38 - test Test Passed
27-03-2020 21:03:387 INFO  ExtentListner :64 - TestScreenshot Test Finished..
27-03-2020 21:03:190 INFO  ExtentListner :26 - A class started..
27-03-2020 21:03:295 INFO  Base :130 - Initialise WebDriver with hashcode :1370074462
27-03-2020 21:03:323 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 21:03:329 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
27-03-2020 21:03:329 INFO  WaitHelper :125 - Page is loded
27-03-2020 21:03:524 INFO  ExtentListner :32 - testLogin Test Started..
27-03-2020 21:03:531 INFO  ExtentListner :38 - testLogin Test Passed
27-03-2020 21:03:667 INFO  ExtentListner :64 - A Test Finished..
27-03-2020 21:03:670 INFO  ExtentListner :26 - B class started..
27-03-2020 21:03:57 INFO  Base :130 - Initialise WebDriver with hashcode :2069500590
27-03-2020 21:03:63 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 21:03:68 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
27-03-2020 21:03:68 INFO  WaitHelper :125 - Page is loded
27-03-2020 21:03:217 INFO  ExtentListner :32 - testoginB Test Started..
27-03-2020 21:03:223 ERROR ExtentListner :44 - testoginB Test Failed.. junit.framework.AssertionFailedError
27-03-2020 21:03:599 INFO  ExtentListner :64 - B Test Finished..
27-03-2020 21:03:600 INFO  ExtentListner :26 - C class started..
27-03-2020 21:03:220 INFO  Base :130 - Initialise WebDriver with hashcode :1950800085
27-03-2020 21:03:232 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 21:03:244 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
27-03-2020 21:03:248 INFO  WaitHelper :125 - Page is loded
27-03-2020 21:03:428 INFO  ExtentListner :32 - testoginC Test Started..
27-03-2020 21:03:438 ERROR ExtentListner :44 - testoginC Test Failed.. junit.framework.AssertionFailedError
27-03-2020 21:03:800 INFO  ExtentListner :64 - C Test Finished..
27-03-2020 21:03:801 INFO  ExtentListner :26 - TestScreenshot class started..
27-03-2020 21:03:934 INFO  Base :130 - Initialise WebDriver with hashcode :1731763384
27-03-2020 21:03:943 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 21:03:953 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
27-03-2020 21:03:956 INFO  WaitHelper :125 - Page is loded
27-03-2020 21:03:162 INFO  ExtentListner :32 - test Test Started..
27-03-2020 21:03:914 INFO  ExtentListner :38 - test Test Passed
27-03-2020 21:03:378 INFO  ExtentListner :64 - TestScreenshot Test Finished..
28-03-2020 09:03:330 INFO  ExtentListner :26 - A class started..
28-03-2020 09:03:983 INFO  Base :139 - Initialise WebDriver with hashcode :1620823990
28-03-2020 09:03:03 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 09:03:10 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 09:03:10 INFO  WaitHelper :125 - Page is loded
28-03-2020 09:03:171 INFO  ExtentListner :32 - testLogin Test Started..
28-03-2020 09:03:173 INFO  ExtentListner :38 - testLogin Test Passed
28-03-2020 09:03:987 INFO  ExtentListner :64 - A Test Finished..
28-03-2020 09:03:993 INFO  ExtentListner :26 - B class started..
28-03-2020 09:03:338 INFO  Base :139 - Initialise WebDriver with hashcode :440736059
28-03-2020 09:03:345 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 09:03:358 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 09:03:359 INFO  WaitHelper :125 - Page is loded
28-03-2020 09:03:536 INFO  ExtentListner :32 - testoginB Test Started..
28-03-2020 09:03:538 ERROR ExtentListner :44 - testoginB Test Failed.. junit.framework.AssertionFailedError
28-03-2020 09:03:632 INFO  ExtentListner :64 - B Test Finished..
28-03-2020 09:03:641 INFO  ExtentListner :26 - C class started..
28-03-2020 09:03:291 INFO  Base :139 - Initialise WebDriver with hashcode :1491860739
28-03-2020 09:03:303 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 09:03:315 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 09:03:316 INFO  WaitHelper :125 - Page is loded
28-03-2020 09:03:507 INFO  ExtentListner :32 - testoginC Test Started..
28-03-2020 09:03:513 ERROR ExtentListner :44 - testoginC Test Failed.. junit.framework.AssertionFailedError
